"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genename","symbol","entrez"
"ENSG00000117598",1.68039679429589,-4.26194180393955,1.68783675672881,-2.525091237022,0.0115668255394433,0.0225863844369175,"phospholipid phosphatase related 5","PLPPR5","163404"
"ENSG00000134222",215.560012132067,-2.08611319809046,0.159782401950158,-13.0559634392103,5.87619075682118e-39,7.66400879416199e-38,"proline and serine rich coiled-coil 1","PSRC1","84722"
"ENSG00000173947",2.17667202894805,4.48138074538501,1.54716244388048,2.896515981958,0.00377331422131365,0.00799124946022712,"ciliary microtubule associated protein 3","CIMAP3","128344"
"ENSG00000184599",4.87392111876866,-2.38597269514712,0.928834723502435,-2.56878068269254,0.0102057025183333,0.0201165766637952,"TAFA chemokine like family member 3","TAFA3","284467"
"ENSG00000183508",2053.88135557663,3.20195534795427,0.0724172014757618,44.215397484339,0,0,"terminal nucleotidyltransferase 5C","TENT5C","54855"
"ENSG00000092621",1283.19734617957,-2.32800498477343,0.152523694565332,-15.2632349446286,1.3441591558731e-52,2.43668113644006e-51,"phosphoglycerate dehydrogenase","PHGDH","26227"
"ENSG00000188610",16.596191894567,-2.22948970010646,0.50220793985886,-4.43937565131494,9.02202235442888e-06,2.62572206673722e-05,"family with sequence similarity 72 member B","FAM72B","653820"
"ENSG00000263513",5.86998829636057,-2.67717724049597,0.883782872105963,-3.02922507891167,0.00245181942226282,0.00533750585602799,"family with sequence similarity 72 member C","FAM72C","554282"
"ENSG00000264343",11.4934459118352,-2.36668231985497,0.599115029184405,-3.95029702906438,7.80542662718924e-05,0.00020498285394069,"notch 2 N-terminal like A","NOTCH2NLA","388677"
"ENSG00000150337",4.83679464027018,2.58755584683912,0.975832965117354,2.65163807673574,0.00801023534701385,0.0160357034154157,"Fc gamma receptor Ia","FCGR1A","2209"
"ENSG00000143416",142.598013627199,-2.1220188902395,0.170228850999151,-12.4656829778525,1.14883277114502e-35,1.37208244579702e-34,"selenium binding protein 1","SELENBP1","8991"
"ENSG00000173207",201.547644874983,-2.53293182589029,0.153231986960325,-16.5300462138243,2.22972629067231e-61,4.91206368788168e-60,"CDC28 protein kinase regulatory subunit 1B","CKS1B","1163"
"ENSG00000183856",323.429239491754,-2.81373707390766,0.130539001605595,-21.5547617133535,4.77722254410183e-103,2.19335532258482e-101,"IQ motif containing GTPase activating protein 3","IQGAP3","128239"
"ENSG00000158473",3.82103427558311,5.29974131910723,1.39957325214216,3.78668377021035,0.000152671195107866,0.000388411543845975,"CD1d molecule","CD1D","912"
"ENSG00000198929",11.0483398602251,2.60399870089878,0.659841301722871,3.94640149699577,7.93345381661361e-05,0.000208159591150528,"nitric oxide synthase 1 adaptor protein","NOS1AP","9722"
"ENSG00000239887",25.6824110757332,2.75849472855795,0.465481538003493,5.92610985258293,3.10195119913377e-09,1.21264076320513e-08,"chromosome 1 open reading frame 226","C1orf226","400793"
"ENSG00000143248",679.495343922114,2.03805120067572,0.0845080260036176,24.1166584649424,1.67176163509683e-128,1.15132817654473e-126,"regulator of G protein signaling 5","RGS5","8490"
"ENSG00000143228",132.19342759075,-2.80268474739792,0.193869098106767,-14.4565832036544,2.27830156229229e-47,3.66968398088129e-46,"NUF2 component of NDC80 kinetochore complex","NUF2","83540"
"ENSG00000120337",90.8357060431566,2.24646743228525,0.24221284430451,9.27476591398675,1.78009487469307e-20,1.26190660236779e-19,"TNF superfamily member 18","TNFSF18","8995"
"ENSG00000116183",15.6925593685169,-2.6088366857597,0.546969415246378,-4.76962077410594,1.84573056656173e-06,5.75346385152006e-06,"pappalysin 2","PAPPA2","60676"
"ENSG00000198756",84.8395419009338,-2.18013969250012,0.228581239759887,-9.53770175885931,1.46032588660103e-21,1.09305652192616e-20,"collagen beta(1-O)galactosyltransferase 2","COLGALT2","23127"
"ENSG00000143341",2279.33849385387,2.05720946158247,0.0629925114453704,32.6580003619409,6.16939827372917e-234,1.49056707800362e-231,"hemicentin 1","HMCN1","83872"
"ENSG00000116690",7.8297291410748,2.2294210946568,0.749988242127964,2.97260806160267,0.00295281246507289,0.00635400060012328,"proteoglycan 4","PRG4","10216"
"ENSG00000073756",1357.62706625186,6.33774730166499,0.339984261408964,18.6412961452983,1.48596319335422e-77,4.42426778659687e-76,"prostaglandin-endoperoxide synthase 2","PTGS2","5743"
"ENSG00000116711",252.499482827766,2.93482473266367,0.157723142742145,18.6074451829919,2.79637316029794e-77,8.27569229648012e-76,"phospholipase A2 group IVA","PLA2G4A","5321"
"ENSG00000162670",4.97106555231261,2.26552453109403,0.933562355296982,2.42675223378446,0.0152346561107688,0.0290577208485521,"BMP/retinoic acid inducible neural specific 3","BRINP3","339479"
"ENSG00000150681",15.7264239200752,3.02178291957628,0.590888123288134,5.1139679416145,3.15460918509613e-07,1.05785279112507e-06,"regulator of G protein signaling 18","RGS18","64407"
"ENSG00000162630",36.2936814473686,-2.75263394190459,0.365332252292206,-7.53460425307026,4.89818041933382e-14,2.57911336263458e-13,"beta-1,3-galactosyltransferase 2","B3GALT2","8707"
"ENSG00000066279",593.333577786577,-3.10048884483018,0.105364403559752,-29.4263407761988,2.5283548139863e-190,3.92240981563475e-188,"assembly factor for spindle microtubules","ASPM","259266"
"ENSG00000116833",15.902660471549,2.56328056527686,0.550119330514992,4.6594991724382,3.16979670722321e-06,9.67815700664091e-06,"nuclear receptor subfamily 5 group A member 2","NR5A2","2494"
"ENSG00000118193",212.976344881228,-2.45568331593476,0.146839767015944,-16.7235576972014,8.8287723869154e-63,1.99568170917729e-61,"kinesin family member 14","KIF14","9928"
"ENSG00000116852",50.116200530578,2.3119114405793,0.302770578060757,7.63585238495456,2.24331235265263e-14,1.20007032498709e-13,"kinesin family member 21B","KIF21B","23046"
"ENSG00000159176",5692.46278267679,-2.31373756503587,0.0575533663106313,-40.2016026751241,0,0,"cysteine and glycine rich protein 1","CSRP1","1465"
"ENSG00000163431",648.670543428421,-2.82926158026152,0.232844473053943,-12.150864236344,5.67623762787558e-34,6.43510693535617e-33,"leiomodin 1","LMOD1","25802"
"ENSG00000162892",25.2789285099654,7.05209808631621,1.22109331214002,5.77523274937694,7.68467833127519e-09,2.92275585151829e-08,"interleukin 24","IL24","11009"
"ENSG00000162894",6.07172598409682,2.28135790156555,0.834049574840042,2.73527853785319,0.00623275107320776,0.0127209922887323,"Fc mu receptor","FCMR","9214"
"ENSG00000123689",21.7892108035725,2.71950373556369,0.495477440524977,5.48865299030016,4.05010391244771e-08,1.45871044627699e-07,"G0/G1 switch 2","G0S2","50486"
"ENSG00000117594",138.031343314429,2.44698136607219,0.183673618073254,13.3224433195205,1.71404714395566e-40,2.3433791101687e-39,"hydroxysteroid 11-beta dehydrogenase 1","HSD11B1","3290"
"ENSG00000143469",154.097372688971,2.60925835791097,0.180075238466569,14.4898231435378,1.40504116366391e-47,2.27554908462403e-46,"synaptotagmin 14","SYT14","255928"
"ENSG00000117650",126.838303527204,-3.43633089724672,0.220272576287662,-15.6003573171047,7.23878344088778e-55,1.38552195262083e-53,"NIMA related kinase 2","NEK2","4751"
"ENSG00000143476",150.445624494916,-2.75839058632263,0.189069738089537,-14.589275968724,3.28667187053561e-48,5.41822930961452e-47,"denticleless E3 ubiquitin protein ligase homolog","DTL","51514"
"ENSG00000143494",125.361654022723,2.20923216531442,0.188093886825845,11.7453693078283,7.45959078545777e-32,7.85281778543404e-31,"vasohibin 2","VASH2","79805"
"ENSG00000117724",1324.17284690485,-2.82511200625218,0.0781715114729396,-36.1399178936196,5.35778353378977e-286,2.21230320932864e-283,"centromere protein F","CENPF","1063"
"ENSG00000143799",1043.84682510942,-2.61747584698133,0.0743747823896401,-35.1930555341823,2.5536798154006e-271,9.4090332798435e-269,"poly(ADP-ribose) polymerase 1","PARP1","142"
"ENSG00000116991",845.465812777274,2.42014865392116,0.0824494797375049,29.3531100696598,2.18081805465828e-189,3.34801005099518e-187,"signal induced proliferation associated 1 like 2","SIPA1L2","57568"
"ENSG00000174371",83.3010613307275,-2.50283621059598,0.237784740185561,-10.5256384772329,6.58137267618177e-26,5.7360301893298e-25,"exonuclease 1","EXO1","9156"
"ENSG00000197472",3.34438630074425,-2.68497866096188,1.16871801720448,-2.29737081266552,0.0215976253305662,0.0399279731713353,"zinc finger protein 695","ZNF695","57116"
"ENSG00000171848",822.67379311788,-2.5328064759672,0.0890287121791522,-28.4493217297184,4.96814084878909e-178,6.5964378224733e-176,"ribonucleotide reductase regulatory subunit M2","RRM2","6241"
"ENSG00000162975",265.399863805106,2.24095259482393,0.134614673006705,16.6471644195303,3.17283800811734e-62,7.07432474487646e-61,"potassium voltage-gated channel modifier subfamily F member 1","KCNF1","3754"
"ENSG00000196208",10.1619789404487,2.2352510082271,0.648945205886443,3.44443720047797,0.000572249553339686,0.00135439439812434,"growth regulating estrogen receptor binding 1","GREB1","9687"
"ENSG00000162981",79.2791589935576,2.5975206090534,0.247294609881048,10.50374939552,8.30158144958329e-26,7.20545979999756e-25,"LRAT domain containing 1","LRATD1","151354"
"ENSG00000143867",287.341815489332,-2.50819525805818,0.130760155731847,-19.1816478346952,5.26839532097094e-82,1.66621481202725e-80,"odd-skipped related transcription factor 1","OSR1","130497"
"ENSG00000115163",75.4012085365385,-2.89064132299117,0.257942151654115,-11.2065488500203,3.78671709718537e-29,3.67403795775629e-28,"centromere protein A","CENPA","1058"
"ENSG00000075426",1241.54577193998,-2.02417343922895,0.075406673593124,-26.8434256913506,1.0065191278208e-158,1.03734817523238e-156,"FOS like 2, AP-1 transcription factor subunit","FOSL2","2355"
"ENSG00000213626",2217.24066575268,-2.41398326460871,0.222956000862609,-10.8271733224003,2.55934239395911e-27,2.34720523971185e-26,"LBH regulator of WNT signaling pathway","LBH","81606"
"ENSG00000152689",276.651098223156,2.81650085448466,0.155472403625895,18.1157606674806,2.39341594266159e-73,6.63048198551625e-72,"RAS guanyl releasing protein 3","RASGRP3","25780"
"ENSG00000150938",7442.98631416393,-2.05963137024161,0.0538449075112274,-38.2511822461976,0,0,"cysteine rich transmembrane BMP regulator 1","CRIM1","51232"
"ENSG00000163171",4580.95736441411,-2.02028700913573,0.134812193242524,-14.9859368098943,9.07370674482279e-51,1.58822197155817e-49,"CDC42 effector protein 3","CDC42EP3","10602"
"ENSG00000119865",249.515401681249,-2.02244438376139,0.130056864706414,-15.5504623944825,1.57961239739891e-54,2.98465737344424e-53,"cannabinoid receptor interacting protein 1","CNRIP1","25927"
"ENSG00000124374",5.20803296766438,-3.32065827442418,1.06438901715525,-3.11977878473338,0.00180986904757912,0.00401231197701881,"poly(A) binding protein interacting protein 2B","PAIP2B","400961"
"ENSG00000003137",8.76343847232493,3.53934185987151,0.873226647402537,4.05317665281916,5.0526819527683e-05,0.000135615419085593,"cytochrome P450 family 26 subfamily B member 1","CYP26B1","56603"
"ENSG00000115353",50.0429620001663,2.88915296202428,0.330806366073786,8.73366796508343,2.46544157621153e-18,1.58187540053137e-17,"tachykinin receptor 1","TACR1","6869"
"ENSG00000121152",152.85489754481,-3.12641827860562,0.196005095085349,-15.9506990226159,2.81725807079485e-57,5.79089950451528e-56,"non-SMC condensin I complex subunit H","NCAPH","23397"
"ENSG00000071073",3.46291517256694,3.18091734688403,1.31796942399694,2.41349859030677,0.0158001890059018,0.0300546186846903,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A","MGAT4A","11320"
"ENSG00000204634",105.628668318824,2.11288705369521,0.199366215924657,10.5980195485763,3.04357079511002e-26,2.67957863669842e-25,"TBC1 domain family member 8","TBC1D8","11138"
"ENSG00000175874",6.41245930957333,3.04699926212644,0.91882887206609,3.31617709756433,0.000912579785479575,0.00210874896180589,"cellular repressor of E1A stimulated genes 2","CREG2","200407"
"ENSG00000115594",2297.59335914873,2.15205095026834,0.147470564297107,14.5930881903498,3.10803835499711e-48,5.1294814418754e-47,"interleukin 1 receptor type 1","IL1R1","3554"
"ENSG00000115598",5.94873065008552,2.25668259266935,0.839177004353844,2.68916162020785,0.00716317287291424,0.0144616053430438,"interleukin 1 receptor like 2","IL1RL2","8808"
"ENSG00000115602",6.50423948845808,2.16375726224274,0.793425724090011,2.72710752443069,0.00638922151973092,0.0130151135808976,"interleukin 1 receptor like 1","IL1RL1","9173"
"ENSG00000115604",61.724297491399,2.81769734893151,0.328765710641939,8.57053292884392,1.03007224794433e-17,6.41911407619597e-17,"interleukin 18 receptor 1","IL18R1","8809"
"ENSG00000144057",2.64110959457406,3.71688820470063,1.47963099767813,2.51203726505679,0.0120036412419964,0.0233698368064126,"ST6 beta-galactoside alpha-2,6-sialyltransferase 2","ST6GAL2","84620"
"ENSG00000144063",5.03872701559054,-3.32178567796104,1.06426524693557,-3.12120092949172,0.0018011509389524,0.00399418635845328,"mal, T cell differentiation protein like","MALL","7851"
"ENSG00000169679",337.231679499979,-3.03236821343323,0.128306142161082,-23.6338507444658,1.73024352350313e-123,1.09443472314975e-121,"BUB1 mitotic checkpoint serine/threonine kinase","BUB1","699"
"ENSG00000169607",221.929375835469,-2.69605301193568,0.151923161487708,-17.7461618461238,1.84543539927048e-70,4.83091064199792e-69,"cytoskeleton associated protein 2 like","CKAP2L","150468"
"ENSG00000115008",27.9078867067545,2.55770327959633,0.421375637982029,6.06988883326334,1.27998821333291e-09,5.13208986769843e-09,"interleukin 1 alpha","IL1A","3552"
"ENSG00000125538",286.388991435147,4.46985055150563,0.207655477484096,21.5253197539563,9.0196122313873e-103,4.11551223115127e-101,"interleukin 1 beta","IL1B","3553"
"ENSG00000072163",287.67373232416,-2.13384757661691,0.125445685773342,-17.0101312250179,6.90828697759755e-65,1.6316399595486e-63,"LIM zinc finger domain containing 2","LIMS2","55679"
"ENSG00000183840",26.8612125827041,-2.10051835592376,0.385945202071,-5.44253003963329,5.25290987505973e-08,1.86998516276885e-07,"G protein-coupled receptor 39","GPR39","2863"
"ENSG00000076003",377.504275716566,-2.10497620665842,0.112757755469252,-18.6681279518057,8.99508625303971e-78,2.68903815816023e-76,"minichromosome maintenance complex component 6","MCM6","4175"
"ENSG00000168702",34.6315391639251,3.47398175178741,0.45173597133299,7.6902924988159,1.46799030359435e-14,7.91629750983297e-14,"LDL receptor related protein 1B","LRP1B","53353"
"ENSG00000115919",322.712914406034,3.79055529846719,0.170571048675245,22.222735498825,2.07065838099487e-109,1.03800555167015e-107,"kynureninase","KYNU","8942"
"ENSG00000123610",275.845431876023,2.6984196135197,0.274256440548997,9.83903826695228,7.64380129342923e-23,6.04693201624047e-22,"TNF alpha induced protein 6","TNFAIP6","7130"
"ENSG00000153234",635.93920101828,4.32640777580259,0.137032426265835,31.5721460511076,8.90724413003987e-219,1.87535662840754e-216,"nuclear receptor subfamily 4 group A member 2","NR4A2","4929"
"ENSG00000163072",5.24602695546976,-2.91514758404931,0.981193476885857,-2.97102218137599,0.00296810342485918,0.00638410803788305,"nitric oxide synthase trafficking","NOSTRIN","115677"
"ENSG00000152253",57.6296411054703,-3.10582925145335,0.316509308478099,-9.81275800824752,9.92189600899413e-23,7.80720252966127e-22,"SPC25 component of NDC80 kinetochore complex","SPC25","57405"
"ENSG00000144354",79.3321845773423,-2.42822134394668,0.247209706565919,-9.82251618546053,9.00668857169507e-23,7.10222451415955e-22,"cell division cycle associated 7","CDCA7","83879"
"ENSG00000064989",10.3318553999407,-2.50582244558123,0.649523594247379,-3.85793906145133,0.000114347146943475,0.000294572321561429,"calcitonin receptor like receptor","CALCRL","10203"
"ENSG00000182329",4.35839966181653,-2.19812566529719,0.985804140997599,-2.22977929781545,0.0257620984248656,0.0469264375955592,"KIAA2012","KIAA2012","100652824"
"ENSG00000138439",346.205455204326,2.55684237527184,0.126390523051485,20.2297000878011,5.36281306948399e-91,2.03703966541379e-89,"family with sequence similarity 117 member B","FAM117B","150864"
"ENSG00000183671",14.5620913396255,-3.6124469377238,0.671637313977754,-5.37856796003363,7.508064083858e-08,2.63524287849248e-07,"chemerin chemokine-like receptor 2","CMKLR2","2825"
"ENSG00000138376",75.538491786139,-2.42844113512532,0.238672869759,-10.174768240636,2.57011073094949e-24,2.13639548520776e-23,"BRCA1 associated RING domain 1","BARD1","580"
"ENSG00000175084",5.41529895030962,-2.23011187430296,0.875128921617458,-2.54832381745669,0.0108241945796794,0.0212470758997717,"desmin","DES","1674"
"ENSG00000152049",330.933800670777,2.4877445382413,0.126921379734585,19.6006736094708,1.52590620591233e-85,5.26669921843933e-84,"potassium voltage-gated channel subfamily E regulatory subunit 4","KCNE4","23704"
"ENSG00000171951",793.124579134864,2.98016310498545,0.0943819972704444,31.5755460911261,7.99970833038979e-219,1.7086913242505e-216,"secretogranin II","SCG2","7857"
"ENSG00000163273",40.864509174533,2.42765728339209,0.344127613100844,7.05452625994499,1.73189744243941e-12,8.36601262100033e-12,"natriuretic peptide C","NPPC","4880"
"ENSG00000168918",21.8304031928055,2.56593711056691,0.465430771223424,5.51303710285877,3.52693842825522e-08,1.27746420633142e-07,"inositol polyphosphate-5-phosphatase D","INPP5D","3635"
"ENSG00000123485",260.197140320079,-2.65014571276407,0.140972159743438,-18.7990715158737,7.68498720537493e-79,2.33048027639539e-77,"Holliday junction recognition protein","HJURP","55355"
"ENSG00000144619",15.3158806933518,3.76271687136146,0.694576929037143,5.41727879815634,6.05129438720076e-08,2.14333036958819e-07,"contactin 4","CNTN4","152330"
"ENSG00000163701",25.3560683438015,-2.76670355149963,0.430550735091861,-6.42596406416385,1.31036358462303e-10,5.62216550514532e-10,"interleukin 17 receptor E","IL17RE","132014"
"ENSG00000144554",150.096850302816,-2.09867755890384,0.173739056433794,-12.0794805841689,1.35573427305574e-33,1.51945336245593e-32,"FA complementation group D2","FANCD2","2177"
"ENSG00000144712",93.6408411442784,-2.31071707403517,0.213841312589872,-10.8057561284564,3.23282458629245e-27,2.95017763175097e-26,"cullin associated and neddylation dissociated 2 (putative)","CAND2","23066"
"ENSG00000129810",38.890579035127,-2.65416038435034,0.3528027194285,-7.52307235230437,5.3503795115007e-14,2.81018864007474e-13,"shugoshin 1","SGO1","151648"
"ENSG00000163491",142.818009557937,2.07230064530167,0.171446715082614,12.0871411522997,1.23510081968632e-33,1.38636069158698e-32,"NIMA related kinase 10","NEK10","152110"
"ENSG00000114739",291.174217170139,3.56367290530309,0.161345201862142,22.0872567896255,4.19084420815304e-108,2.07263966240804e-106,"activin A receptor type 2B","ACVR2B","93"
"ENSG00000168334",3.89335446916111,-3.46723385590848,1.26294093301207,-2.74536501690482,0.00604436270564436,0.0123769675185874,"xin actin binding repeat containing 1","XIRP1","165904"
"ENSG00000163808",109.837962751288,-3.0009715092921,0.219608373205917,-13.6651051391297,1.64066639592568e-42,2.36365018017132e-41,"kinesin family member 15","KIF15","56992"
"ENSG00000183763",46.4072133448064,-3.39894311381412,0.35874538947013,-9.47452765548956,2.67970307580218e-21,1.9796222521891e-20,"TRAF interacting protein","TRAIP","10293"
"ENSG00000164087",120.649607655748,-2.01472832750526,0.19479341714254,-10.3428973989967,4.50700881810647e-25,3.83955467984123e-24,"POC1 centriolar protein A","POC1A","25886"
"ENSG00000168306",54.1184165522606,-2.34721822816402,0.277775010258021,-8.450069810037,2.91128692370038e-17,1.77080258693752e-16,"acyl-CoA oxidase 2","ACOX2","8309"
"ENSG00000044524",3.9318647308226,-2.86752640573709,1.11380287707735,-2.57453671987412,0.0100374431435524,0.0197981580633934,"EPH receptor A3","EPHA3","2042"
"ENSG00000144821",12.7124666863379,-2.26563778968577,0.571561663670614,-3.96394288436993,7.37218980966321e-05,0.000194193625406285,"myosin heavy chain 15","MYH15","22989"
"ENSG00000163507",227.058322893011,-2.08827295427786,0.140355799257793,-14.8784230172229,4.55100484253839e-50,7.84476132974629e-49,"cellular inhibitor of PP2A","CIP2A","57650"
"ENSG00000051341",119.498988823157,-2.8347331498712,0.216256520158968,-13.1081973749851,2.95539625143302e-39,3.89246022820553e-38,"DNA polymerase theta","POLQ","10721"
"ENSG00000074416",2392.80973934457,-2.14808670764645,0.0589063480898238,-36.4661327225874,3.81873143549657e-291,1.94070565159822e-288,"monoglyceride lipase","MGLL","11343"
"ENSG00000114654",3.38419453839636,4.09710319829927,1.41713466685426,2.89111775622142,0.00383874254027683,0.00811931509164751,"EF-hand and coiled-coil domain containing 1","EFCC1","79825"
"ENSG00000183770",20.5195109936707,2.47292695425007,0.488816358501214,5.05901022181918,4.21438277122215e-07,1.39827945255002e-06,"forkhead box L2","FOXL2","668"
"ENSG00000206262",4.7773637716545,2.17907472864802,0.938236449569164,2.32252192893236,0.0202048490425526,0.0375746454497337,"FOXL2 neighbor","FOXL2NB","401089"
"ENSG00000155903",1023.35613415789,2.05089158351226,0.072450535655646,28.3074730221465,2.79630988087463e-176,3.61508903722196e-174,"RAS p21 protein activator 2","RASA2","5922"
"ENSG00000175040",589.693116509631,2.02107463308378,0.0941513978275514,21.4662201488033,3.22181657706382e-102,1.45653781327505e-100,"carbohydrate sulfotransferase 2","CHST2","9435"
"ENSG00000144893",18.9907813205522,2.34574550616827,0.478470798388532,4.90258865132132,9.45819076113056e-07,3.04554982384842e-06,"mediator complex subunit 12L","MED12L","116931"
"ENSG00000152580",5.06539953075312,2.64058980502346,0.970551635947357,2.72071027158279,0.00651418276939046,0.0132550083743306,"immunoglobulin superfamily member 10","IGSF10","285313"
"ENSG00000114771",8.87502828904809,2.07181618835756,0.679211968657759,3.05032343945857,0.00228595042248847,0.00499486098245145,"arylacetamide deacetylase","AADAC","13"
"ENSG00000169860",2.90364219795727,4.90435771255827,1.46081701296161,3.3572703966634,0.000787160906673406,0.0018350486305841,"purinergic receptor P2Y1","P2RY1","5028"
"ENSG00000196549",1520.30148791169,2.8374350677056,0.0806594353570043,35.1779683944837,4.34407225892542e-271,1.5615350476108e-268,"membrane metalloendopeptidase","MME","4311"
"ENSG00000180044",6.36573700666312,2.3639296902697,0.825407936741269,2.86395318610887,0.00418389840912222,0.00879382412345169,"chromosome 3 open reading frame 80","C3orf80","401097"
"ENSG00000163590",45.0929332528725,2.1237854883765,0.307690117705468,6.9023519644185,5.11485134000279e-12,2.40455116583608e-11,"protein phosphatase, Mg2+/Mn2+ dependent 1L","PPM1L","151742"
"ENSG00000013297",3890.38900873251,-2.90578849584538,0.198946772026378,-14.6058589754857,2.5771349872983e-48,4.2628300160272e-47,"claudin 11","CLDN11","5010"
"ENSG00000013293",186.24913145338,-3.41951074687177,0.187048348568051,-18.2814270911764,1.16341725683881e-74,3.2784786866712e-73,"solute carrier family 7 member 14","SLC7A14","57709"
"ENSG00000114796",586.82411052868,2.29706369421062,0.0986860203283317,23.2764852262581,7.67337582439367e-120,4.40039738910171e-118,"kelch like family member 24","KLHL24","54800"
"ENSG00000163898",19.1195209153036,-2.46012247496534,0.476750616599456,-5.16018729564061,2.46702907669146e-07,8.33732504753009e-07,"lipase H","LIPH","200879"
